S,M,H
N,N,L
N,D,L
N,C,L
N,F,M
N,M,V
M,N,L
M,D,L
M,C,L
M,F,M
M,M,V
A,N,M
A,D,M
A,C,M
A,F,H
A,M,V
H,N,H
H,D,H
H,C,H
H,F,H
H,M,V
C,N,V
C,D,V
C,C,V
C,F,V
C,M,V
